semester	class_name	cnt
2021-2022-1	计科2101	16
2021-2022-1	计科2102	18
2022-2023-1	计科2201	16
2022-2023-1	计科2202	18
2022-2023-2	计科2201	17
2023-2024-1	会计2301	18
2023-2024-1	土木2301	18
2023-2024-1	建筑2301	18
2023-2024-1	数据2301	18
2023-2024-1	日语2301	18
2023-2024-1	物联2301	18
2023-2024-1	电信2302	18
2023-2024-1	网工2302	18
2023-2024-1	英语2301	15
2023-2024-1	营销2301	18
2023-2024-1	计科2201	18
2023-2024-1	计科2301	16
2023-2024-1	计科2302	18
2023-2024-1	通信2301	18
2023-2024-1	通信2302	18
2023-2024-2	土木2301	14
2023-2024-2	英语2301	14
2023-2024-2	计科2201	17
2023-2024-2	计科2301	18
2024-2025-1	会计2401	16
2024-2025-1	会计2402	18
2024-2025-1	土木2301	14
2024-2025-1	土木2401	16
2024-2025-1	土木2402	18
2024-2025-1	工商2301	16
2024-2025-1	工商2401	16
2024-2025-1	工商2402	18
2024-2025-1	建筑2401	16
2024-2025-1	数据2401	16
2024-2025-1	数据2402	18
2024-2025-1	日语2401	16
2024-2025-1	日语2402	18
2024-2025-1	物联2401	16
2024-2025-1	物联2402	18
2024-2025-1	电信2301	16
2024-2025-1	电信2401	16
2024-2025-1	电信2402	18
2024-2025-1	网工2301	16
2024-2025-1	网工2401	16
2024-2025-1	网工2402	18
2024-2025-1	英语2301	15
2024-2025-1	英语2401	16
2024-2025-1	英语2402	18
2024-2025-1	营销2401	16
2024-2025-1	营销2402	18
2024-2025-1	计科2101	13
2024-2025-1	计科2201	17
2024-2025-1	计科2301	18
2024-2025-1	计科2401	18
2024-2025-1	计科2402	18
2024-2025-1	通信2401	16
2024-2025-1	通信2402	18
2024-2025-2	会计2401	15
2024-2025-2	土木2301	16
2024-2025-2	土木2401	15
2024-2025-2	工商2301	10
2024-2025-2	工商2401	15
2024-2025-2	建筑2401	10
2024-2025-2	数据2401	15
2024-2025-2	日语2401	10
2024-2025-2	物联2401	15
2024-2025-2	电信2301	10
2024-2025-2	电信2401	15
2024-2025-2	网工2301	17
2024-2025-2	网工2401	15
2024-2025-2	英语2301	14
2024-2025-2	英语2401	15
2024-2025-2	营销2401	10
2024-2025-2	计科2201	16
2024-2025-2	计科2301	17
2024-2025-2	计科2401	18
2024-2025-2	通信2401	15
2025-2026-1	土木2301	15
2025-2026-1	数据2401	18
2025-2026-1	物联2401	18
2025-2026-1	网工2401	18
2025-2026-1	英语2301	15
2025-2026-1	计科2201	18
2025-2026-1	计科2301	18
2025-2026-1	计科2401	18
2025-2026-2	土木2301	15
2025-2026-2	英语2301	15
2025-2026-2	计科2201	14
2025-2026-2	计科2301	18
2025-2026-2	计科2401	18
