class_name	semester	cnt
会计2301	2023-2024-1	18
会计2401	2024-2025-1	16
会计2401	2024-2025-2	15
会计2402	2024-2025-1	18
土木2301	2023-2024-1	18
土木2301	2023-2024-2	14
土木2301	2024-2025-1	14
土木2301	2024-2025-2	16
土木2301	2025-2026-1	15
土木2301	2025-2026-2	15
土木2401	2024-2025-1	16
土木2401	2024-2025-2	15
土木2402	2024-2025-1	18
工商2301	2024-2025-1	16
工商2301	2024-2025-2	10
工商2401	2024-2025-1	16
工商2401	2024-2025-2	15
工商2402	2024-2025-1	18
建筑2301	2023-2024-1	18
建筑2401	2024-2025-1	16
建筑2401	2024-2025-2	10
数据2301	2023-2024-1	18
数据2401	2024-2025-1	16
数据2401	2024-2025-2	15
数据2401	2025-2026-1	18
数据2402	2024-2025-1	18
日语2301	2023-2024-1	18
日语2401	2024-2025-1	16
日语2401	2024-2025-2	10
日语2402	2024-2025-1	18
物联2301	2023-2024-1	18
物联2401	2024-2025-1	16
物联2401	2024-2025-2	15
物联2401	2025-2026-1	18
物联2402	2024-2025-1	18
电信2301	2024-2025-1	16
电信2301	2024-2025-2	10
电信2302	2023-2024-1	18
电信2401	2024-2025-1	16
电信2401	2024-2025-2	15
电信2402	2024-2025-1	18
网工2301	2024-2025-1	16
网工2301	2024-2025-2	17
网工2302	2023-2024-1	18
网工2401	2024-2025-1	16
网工2401	2024-2025-2	15
网工2401	2025-2026-1	18
网工2402	2024-2025-1	18
英语2301	2023-2024-1	15
英语2301	2023-2024-2	14
英语2301	2024-2025-1	15
英语2301	2024-2025-2	14
英语2301	2025-2026-1	15
英语2301	2025-2026-2	15
英语2401	2024-2025-1	16
英语2401	2024-2025-2	15
英语2402	2024-2025-1	18
营销2301	2023-2024-1	18
营销2401	2024-2025-1	16
营销2401	2024-2025-2	10
营销2402	2024-2025-1	18
计科2301	2023-2024-1	16
计科2301	2023-2024-2	18
计科2301	2024-2025-1	18
计科2301	2024-2025-2	17
计科2301	2025-2026-1	18
计科2301	2025-2026-2	18
计科2302	2023-2024-1	18
计科2401	2024-2025-1	18
计科2401	2024-2025-2	18
计科2401	2025-2026-1	18
计科2401	2025-2026-2	18
计科2402	2024-2025-1	18
通信2301	2023-2024-1	18
通信2302	2023-2024-1	18
通信2401	2024-2025-1	16
通信2401	2024-2025-2	15
通信2402	2024-2025-1	18
