class_name	semester	cnt
会计2301	2023-2024-1	18
会计2301	2023-2024-2	9
会计2301	2024-2025-1	7
会计2301	2024-2025-2	8
会计2301	2025-2026-1	5
会计2301	2025-2026-2	4
会计2401	2024-2025-1	16
会计2401	2024-2025-2	15
会计2401	2025-2026-1	7
会计2401	2025-2026-2	8
会计2402	2024-2025-1	18
会计2402	2024-2025-2	9
会计2402	2025-2026-1	7
会计2402	2025-2026-2	8
土木2301	2023-2024-1	18
土木2301	2023-2024-2	14
土木2301	2024-2025-1	14
土木2301	2024-2025-2	16
土木2301	2025-2026-1	15
土木2301	2025-2026-2	15
土木2401	2024-2025-1	16
土木2401	2024-2025-2	15
土木2401	2025-2026-1	7
土木2401	2025-2026-2	8
土木2402	2024-2025-1	18
土木2402	2024-2025-2	10
土木2402	2025-2026-1	7
土木2402	2025-2026-2	8
工商2301	2023-2024-1	8
工商2301	2023-2024-2	9
工商2301	2024-2025-1	16
工商2301	2024-2025-2	10
工商2301	2025-2026-1	5
工商2301	2025-2026-2	4
工商2401	2024-2025-1	16
工商2401	2024-2025-2	15
工商2401	2025-2026-1	6
工商2401	2025-2026-2	8
工商2402	2024-2025-1	18
工商2402	2024-2025-2	9
工商2402	2025-2026-1	6
工商2402	2025-2026-2	8
建筑2301	2023-2024-1	18
建筑2301	2023-2024-2	9
建筑2301	2024-2025-1	7
建筑2301	2024-2025-2	8
建筑2301	2025-2026-1	6
建筑2301	2025-2026-2	6
建筑2401	2024-2025-1	16
建筑2401	2024-2025-2	10
建筑2401	2025-2026-1	7
建筑2401	2025-2026-2	8
数据2301	2023-2024-1	18
数据2301	2023-2024-2	10
数据2301	2024-2025-1	8
数据2301	2024-2025-2	9
数据2301	2025-2026-1	6
数据2301	2025-2026-2	5
数据2401	2024-2025-1	16
数据2401	2024-2025-2	15
数据2401	2025-2026-1	18
数据2401	2025-2026-2	9
数据2402	2024-2025-1	18
数据2402	2024-2025-2	10
数据2402	2025-2026-1	8
数据2402	2025-2026-2	9
日语2301	2023-2024-1	18
日语2301	2023-2024-2	8
日语2301	2024-2025-1	7
日语2301	2024-2025-2	8
日语2301	2025-2026-1	6
日语2301	2025-2026-2	5
日语2401	2024-2025-1	16
日语2401	2024-2025-2	10
日语2401	2025-2026-1	7
日语2401	2025-2026-2	8
日语2402	2024-2025-1	18
日语2402	2024-2025-2	8
日语2402	2025-2026-1	7
日语2402	2025-2026-2	8
